Algorithm,ArraySize,ArrayType,ExecutionTime_ms,CharacterComparisons,IsSorted
MSDRadixSortWithQuickSort,1600,Random,0.244,7534,true
QuickSort,1600,ReverseSorted,2.915,1296337,true
MergeSort,1600,ReverseSorted,1.864,12077,true
StringQuickSort,1600,ReverseSorted,0.143,72221,true
StringMergeSort,1600,ReverseSorted,1.822,12077,true
MSDRadixSort,1600,ReverseSorted,0.498,3594,true
MSDRadixSortWithQuickSort,1600,ReverseSorted,0.236,16540,true
QuickSort,1700,NearlySorted,0.291,84324,true
MergeSort,1700,NearlySorted,1.966,20215,true
StringQuickSort,1700,NearlySorted,0.145,55685,true
StringMergeSort,1700,NearlySorted,1.879,20215,true
MSDRadixSort,1700,NearlySorted,0.478,3878,true
MSDRadixSortWithQuickSort,1700,NearlySorted,0.228,9198,true
QuickSort,1700,PrefixBased,0.223,44840,true
MergeSort,1700,PrefixBased,1.810,39112,true
StringQuickSort,1700,PrefixBased,0.125,22512,true
StringMergeSort,1700,PrefixBased,1.803,39112,true
MSDRadixSort,1700,PrefixBased,1.262,10415,true
MSDRadixSortWithQuickSort,1700,PrefixBased,0.228,13505,true
QuickSort,1700,Random,0.218,26091,true
MergeSort,1700,Random,2.022,22261,true
StringQuickSort,1700,Random,0.102,20016,true
StringMergeSort,1700,Random,2.112,22261,true
MSDRadixSort,1700,Random,0.530,3815,true
MSDRadixSortWithQuickSort,1700,Random,0.278,8230,true
QuickSort,1700,ReverseSorted,3.183,1463602,true
MergeSort,1700,ReverseSorted,1.992,12998,true
StringQuickSort,1700,ReverseSorted,0.157,76607,true
StringMergeSort,1700,ReverseSorted,1.981,12998,true
MSDRadixSort,1700,ReverseSorted,0.517,3813,true
MSDRadixSortWithQuickSort,1700,ReverseSorted,0.251,18770,true
QuickSort,1800,NearlySorted,0.235,53771,true
MergeSort,1800,NearlySorted,2.055,21685,true
StringQuickSort,1800,NearlySorted,0.126,47751,true
StringMergeSort,1800,NearlySorted,2.194,21685,true
MSDRadixSort,1800,NearlySorted,0.510,4079,true
MSDRadixSortWithQuickSort,1800,NearlySorted,0.227,9966,true
QuickSort,1800,PrefixBased,0.235,50060,true
MergeSort,1800,PrefixBased,1.950,41560,true
StringQuickSort,1800,PrefixBased,0.121,23680,true
StringMergeSort,1800,PrefixBased,1.968,41560,true
MSDRadixSort,1800,PrefixBased,1.274,11058,true
MSDRadixSortWithQuickSort,1800,PrefixBased,0.241,14290,true
QuickSort,1800,Random,0.228,27845,true
MergeSort,1800,Random,2.183,23983,true
StringQuickSort,1800,Random,0.108,18118,true
StringMergeSort,1800,Random,2.249,23983,true
MSDRadixSort,1800,Random,0.588,4108,true
MSDRadixSortWithQuickSort,1800,Random,0.302,8781,true
QuickSort,1800,ReverseSorted,3.685,1640847,true
MergeSort,1800,ReverseSorted,2.173,14084,true
StringQuickSort,1800,ReverseSorted,0.165,80763,true
StringMergeSort,1800,ReverseSorted,2.080,14084,true
MSDRadixSort,1800,ReverseSorted,0.593,4130,true
MSDRadixSortWithQuickSort,1800,ReverseSorted,0.248,20299,true
QuickSort,1900,NearlySorted,0.260,64813,true
MergeSort,1900,NearlySorted,2.224,23340,true
StringQuickSort,1900,NearlySorted,0.156,58584,true
StringMergeSort,1900,NearlySorted,2.256,23340,true
MSDRadixSort,1900,NearlySorted,0.527,4325,true
MSDRadixSortWithQuickSort,1900,NearlySorted,0.244,10851,true
QuickSort,1900,PrefixBased,0.248,49912,true
MergeSort,1900,PrefixBased,1.995,44267,true
StringQuickSort,1900,PrefixBased,0.126,25622,true
StringMergeSort,1900,PrefixBased,2.036,44267,true
MSDRadixSort,1900,PrefixBased,1.320,11639,true
MSDRadixSortWithQuickSort,1900,PrefixBased,0.268,15176,true
QuickSort,1900,Random,0.243,30718,true
MergeSort,1900,Random,2.386,25546,true
StringQuickSort,1900,Random,0.129,20720,true
StringMergeSort,1900,Random,2.272,25546,true
MSDRadixSort,1900,Random,0.623,4378,true
MSDRadixSortWithQuickSort,1900,Random,0.294,9297,true
QuickSort,1900,ReverseSorted,4.100,1828402,true
MergeSort,1900,ReverseSorted,2.145,15174,true
StringQuickSort,1900,ReverseSorted,0.179,84795,true
StringMergeSort,1900,ReverseSorted,2.325,15174,true
MSDRadixSort,1900,ReverseSorted,0.588,4406,true
MSDRadixSortWithQuickSort,1900,ReverseSorted,0.268,22121,true
QuickSort,2000,NearlySorted,0.336,101635,true
MergeSort,2000,NearlySorted,2.386,24477,true
StringQuickSort,2000,NearlySorted,0.132,48104,true
StringMergeSort,2000,NearlySorted,2.400,24477,true
MSDRadixSort,2000,NearlySorted,0.622,4605,true
MSDRadixSortWithQuickSort,2000,NearlySorted,0.249,11525,true
QuickSort,2000,PrefixBased,0.261,54037,true
MergeSort,2000,PrefixBased,2.191,46936,true
StringQuickSort,2000,PrefixBased,0.135,26414,true
StringMergeSort,2000,PrefixBased,2.251,46936,true
MSDRadixSort,2000,PrefixBased,1.406,12277,true
MSDRadixSortWithQuickSort,2000,PrefixBased,0.273,16268,true
QuickSort,2000,Random,0.259,32681,true
MergeSort,2000,Random,2.511,27169,true
StringQuickSort,2000,Random,0.124,20933,true
StringMergeSort,2000,Random,2.493,27169,true
MSDRadixSort,2000,Random,0.633,4589,true
MSDRadixSortWithQuickSort,2000,Random,0.300,10064,true
QuickSort,2000,ReverseSorted,4.588,2026036,true
MergeSort,2000,ReverseSorted,2.357,16266,true
StringQuickSort,2000,ReverseSorted,0.178,88612,true
StringMergeSort,2000,ReverseSorted,2.352,16266,true
MSDRadixSort,2000,ReverseSorted,0.646,4617,true
MSDRadixSortWithQuickSort,2000,ReverseSorted,0.297,24593,true
QuickSort,2100,NearlySorted,0.295,73453,true
MergeSort,2100,NearlySorted,2.504,25866,true
StringQuickSort,2100,NearlySorted,0.132,49048,true
